date,generacion_GWh,capacidad_efectiva_neta_mv,str_date
2000-05-10,117.499,12060.27,2000 mayo 10
2000-05-11,117.686,12060.27,2000 mayo 11
2000-05-12,117.464,12060.27,2000 mayo 12
2000-05-13,110.172,12058.27,2000 mayo 13
2000-05-14,93.235,12058.27,2000 mayo 14
2000-05-15,113.814,12058.27,2000 mayo 15
2000-05-16,117.665,12058.27,2000 mayo 16
2000-05-17,117.783,12058.27,2000 mayo 17
2000-05-18,119.262,12214.27,2000 mayo 18
2000-05-19,118.366,12214.27,2000 mayo 19
2000-05-20,109.948,12214.27,2000 mayo 20
2000-05-21,96.736,12214.27,2000 mayo 21
2000-05-22,114.733,12214.27,2000 mayo 22
2000-05-23,117.287,12214.27,2000 mayo 23
2000-05-24,117.496,12214.27,2000 mayo 24
2000-05-25,116.322,12214.27,2000 mayo 25
2000-05-26,116.667,12214.27,2000 mayo 26
2000-05-27,110.058,12214.27,2000 mayo 27
2000-05-28,96.387,12214.27,2000 mayo 28
2000-05-29,113.708,12214.27,2000 mayo 29
2000-05-30,116.065,12214.27,2000 mayo 30
2000-05-31,115.784,12299.27,2000 mayo 31
2000-06-01,116.653,12299.27,2000 junio 01
2000-06-02,117.315,12299.27,2000 junio 02
2000-06-03,110.765,12293.27,2000 junio 03
2000-06-04,96.858,12293.27,2000 junio 04
2000-06-05,96.778,12293.27,2000 junio 05
2000-06-06,115.812,12293.27,2000 junio 06
2000-06-07,117.525,12293.27,2000 junio 07
2000-06-08,118.378,12293.27,2000 junio 08
2000-06-09,117.578,12293.27,2000 junio 09
2000-06-10,109.993,12293.27,2000 junio 10
2000-06-11,95.558,12293.27,2000 junio 11
2000-06-12,115.706,12293.27,2000 junio 12
2000-06-13,118.496,12293.27,2000 junio 13
2000-06-14,117.552,12293.27,2000 junio 14
2000-06-15,117.997,12293.27,2000 junio 15
2000-06-16,118.729,12378.27,2000 junio 16
2000-06-17,110.656,12293.27,2000 junio 17
2000-06-18,95.09,12443.27,2000 junio 18
2000-06-19,113.828,12443.27,2000 junio 19
2000-06-20,117.722,12443.27,2000 junio 20
2000-06-21,117.936,12443.27,2000 junio 21
2000-06-22,118.149,12443.27,2000 junio 22
2000-06-23,117.126,12443.27,2000 junio 23
2000-06-24,108.563,12443.27,2000 junio 24
2000-06-25,94.146,12443.27,2000 junio 25
2000-06-26,96.039,12443.27,2000 junio 26
2000-06-27,115.608,12443.27,2000 junio 27
2000-06-28,118.839,12443.27,2000 junio 28
2000-06-29,117.754,12443.27,2000 junio 29
2000-06-30,120.167,12443.27,2000 junio 30
2000-07-01,110.099,12443.27,2000 julio 01
2000-07-02,96.191,12443.27,2000 julio 02
2000-07-03,96.248,12443.27,2000 julio 03
2000-07-04,114.909,12443.27,2000 julio 04
2000-07-05,116.504,12443.27,2000 julio 05
2000-07-06,116.957,12443.27,2000 julio 06
2000-07-07,115.831,12443.27,2000 julio 07
2000-07-08,109.621,12443.27,2000 julio 08
2000-07-09,96.462,12443.27,2000 julio 09
2000-07-10,116.263,12443.27,2000 julio 10
2000-07-11,118.374,12443.27,2000 julio 11
2000-07-12,118.704,12449.27,2000 julio 12
2000-07-13,118.379,12449.27,2000 julio 13
2000-07-14,118.628,12449.27,2000 julio 14
2000-07-15,110.147,12449.27,2000 julio 15
2000-07-16,96.343,12449.27,2000 julio 16
2000-07-17,115.462,12449.27,2000 julio 17
2000-07-18,118.155,12449.27,2000 julio 18
2000-07-19,118.325,12449.27,2000 julio 19
2000-07-20,102.674,12449.27,2000 julio 20
2000-07-21,114.851,12449.27,2000 julio 21
2000-07-22,107.591,12449.27,2000 julio 22
2000-07-23,96.818,12449.27,2000 julio 23
2000-07-24,117.293,12449.27,2000 julio 24
2000-07-25,119.177,12449.27,2000 julio 25
2000-07-26,119.584,12449.27,2000 julio 26
2000-07-27,119.165,12449.27,2000 julio 27
2000-07-28,117.336,12449.27,2000 julio 28
2000-07-29,108.397,12449.27,2000 julio 29
2000-07-30,95.534,12449.27,2000 julio 30
2000-07-31,113.862,12449.27,2000 julio 31
2000-08-01,116.75,12449.27,2000 agosto 01
2000-08-02,117.06,12449.27,2000 agosto 02
2000-08-03,116.813,12449.27,2000 agosto 03
2000-08-04,116.833,12449.27,2000 agosto 04
2000-08-05,109.005,12449.27,2000 agosto 05
2000-08-06,93.677,12449.27,2000 agosto 06
2000-08-07,95.139,12449.27,2000 agosto 07
2000-08-08,114.149,12449.27,2000 agosto 08
2000-08-09,116.887,12449.27,2000 agosto 09
2000-08-10,117.027,12449.27,2000 agosto 10
2000-08-11,117.128,12449.27,2000 agosto 11
2000-08-12,110.566,12449.27,2000 agosto 12
2000-08-13,96.512,12449.27,2000 agosto 13
2000-08-14,115.638,12449.27,2000 agosto 14
2000-08-15,118.399,12449.27,2000 agosto 15
2000-08-16,118.707,12449.27,2000 agosto 16
2000-08-17,118.797,12449.27,2000 agosto 17
2000-08-18,118.705,12449.27,2000 agosto 18
2000-08-19,111.334,12449.27,2000 agosto 19
2000-08-20,97.465,12449.27,2000 agosto 20
2000-08-21,99.637,12449.27,2000 agosto 21
2000-08-22,117.571,12449.27,2000 agosto 22
2000-08-23,119.729,12449.27,2000 agosto 23
2000-08-24,120.057,12449.27,2000 agosto 24
2000-08-25,119.594,12449.27,2000 agosto 25
2000-08-26,111.154,12449.27,2000 agosto 26
2000-08-27,98.525,12449.27,2000 agosto 27
2000-08-28,116.593,12449.27,2000 agosto 28
2000-08-29,118.459,12449.27,2000 agosto 29
2000-08-30,119.455,12449.27,2000 agosto 30
2000-08-31,118.903,12449.27,2000 agosto 31
2000-09-01,119.489,12469.17,2000 septiembre 01
2000-09-02,112.166,12469.17,2000 septiembre 02
2000-09-03,98.845,12469.17,2000 septiembre 03
2000-09-04,115.623,12576.17,2000 septiembre 04
2000-09-05,116.572,12576.17,2000 septiembre 05
2000-09-06,116.448,12576.17,2000 septiembre 06
2000-09-07,119.886,12576.17,2000 septiembre 07
2000-09-08,120.0,12576.17,2000 septiembre 08
2000-09-09,111.936,12576.17,2000 septiembre 09
2000-09-10,97.779,12576.17,2000 septiembre 10
2000-09-11,116.055,12576.17,2000 septiembre 11
2000-09-12,119.045,12576.17,2000 septiembre 12
2000-09-13,121.063,12576.17,2000 septiembre 13
2000-09-14,120.088,12576.17,2000 septiembre 14
2000-09-15,119.906,12576.17,2000 septiembre 15
2000-09-16,112.595,12576.17,2000 septiembre 16
2000-09-17,98.323,12576.17,2000 septiembre 17
2000-09-18,116.607,12576.17,2000 septiembre 18
2000-09-19,119.926,12576.17,2000 septiembre 19
2000-09-20,120.24,12576.17,2000 septiembre 20
2000-09-21,119.963,12576.17,2000 septiembre 21
2000-09-22,119.762,12576.17,2000 septiembre 22
2000-09-23,112.4,12576.17,2000 septiembre 23
2000-09-24,96.674,12576.17,2000 septiembre 24
2000-09-25,115.792,12576.17,2000 septiembre 25
2000-09-26,118.402,12576.17,2000 septiembre 26
2000-09-27,118.577,12580.67,2000 septiembre 27
2000-09-28,118.592,12582.67,2000 septiembre 28
2000-09-29,118.067,12582.67,2000 septiembre 29
2000-09-30,110.321,12582.67,2000 septiembre 30
2000-10-01,97.507,12582.67,2000 octubre 01
2000-10-02,115.733,12582.67,2000 octubre 02
2000-10-03,118.437,12582.67,2000 octubre 03
2000-10-04,118.383,12582.67,2000 octubre 04
2000-10-05,120.299,12582.67,2000 octubre 05
2000-10-06,120.563,12582.67,2000 octubre 06
2000-10-07,112.171,12582.67,2000 octubre 07
2000-10-08,98.379,12582.67,2000 octubre 08
2000-10-09,116.972,12582.67,2000 octubre 09
2000-10-10,119.055,12582.67,2000 octubre 10
2000-10-11,121.151,12582.67,2000 octubre 11
2000-10-12,120.779,12582.67,2000 octubre 12
2000-10-13,120.234,12582.67,2000 octubre 13
2000-10-14,112.521,12582.67,2000 octubre 14
2000-10-15,98.363,12582.67,2000 octubre 15
2000-10-16,99.169,12582.67,2000 octubre 16
2000-10-17,118.721,12582.67,2000 octubre 17
2000-10-18,121.34,12582.67,2000 octubre 18
2000-10-19,121.391,12582.67,2000 octubre 19
2000-10-20,120.94,12582.67,2000 octubre 20
2000-10-21,114.207,12582.67,2000 octubre 21
2000-10-22,99.433,12582.67,2000 octubre 22
2000-10-23,118.922,12582.67,2000 octubre 23
2000-10-24,120.169,12582.67,2000 octubre 24
2000-10-25,119.44,12582.67,2000 octubre 25
2000-10-26,119.847,12582.67,2000 octubre 26
2000-10-27,119.005,12582.67,2000 octubre 27
2000-10-28,112.83,12582.67,2000 octubre 28
2000-10-29,98.282,12582.67,2000 octubre 29
2000-10-30,117.974,12582.67,2000 octubre 30
2000-10-31,118.856,12582.67,2000 octubre 31
2000-11-01,121.234,12582.67,2000 noviembre 01
2000-11-02,121.257,12582.67,2000 noviembre 02
2000-11-03,120.236,12582.67,2000 noviembre 03
2000-11-04,114.326,12582.67,2000 noviembre 04
2000-11-05,100.214,12582.67,2000 noviembre 05
2000-11-06,101.875,12582.67,2000 noviembre 06
2000-11-07,118.803,12582.67,2000 noviembre 07
2000-11-08,120.857,12582.67,2000 noviembre 08
2000-11-09,121.36,12582.67,2000 noviembre 09
2000-11-10,121.2,12582.67,2000 noviembre 10
2000-11-11,114.54,12582.67,2000 noviembre 11
2000-11-12,100.72,12582.67,2000 noviembre 12
2000-11-13,101.996,12582.67,2000 noviembre 13
2000-11-14,119.369,12582.67,2000 noviembre 14
2000-11-15,121.683,12582.67,2000 noviembre 15
2000-11-16,123.205,12582.67,2000 noviembre 16
2000-11-17,123.297,12582.67,2000 noviembre 17
2000-11-18,115.469,12582.67,2000 noviembre 18
2000-11-19,101.676,12582.67,2000 noviembre 19
2000-11-20,119.537,12582.67,2000 noviembre 20
2000-11-21,121.733,12582.67,2000 noviembre 21
2000-11-22,121.517,12582.67,2000 noviembre 22
2000-11-23,121.732,12582.67,2000 noviembre 23
2000-11-24,122.243,12582.67,2000 noviembre 24
2000-11-25,115.503,12582.67,2000 noviembre 25
2000-11-26,103.191,12582.67,2000 noviembre 26
2000-11-27,121.939,12748.67,2000 noviembre 27
2000-11-28,124.083,12748.67,2000 noviembre 28
2000-11-29,124.248,12748.67,2000 noviembre 29
2000-11-30,124.852,12733.67,2000 noviembre 30
2000-12-01,124.74,12733.67,2000 diciembre 01
2000-12-02,116.967,12733.67,2000 diciembre 02
2000-12-03,102.601,12733.67,2000 diciembre 03
2000-12-04,120.559,12733.67,2000 diciembre 04
2000-12-05,125.698,12733.67,2000 diciembre 05
2000-12-06,127.256,12733.67,2000 diciembre 06
2000-12-07,126.484,12733.67,2000 diciembre 07
2000-12-08,107.965,12733.67,2000 diciembre 08
2000-12-09,115.307,12733.67,2000 diciembre 09
2000-12-10,106.194,12733.67,2000 diciembre 10
2000-12-11,124.883,12733.67,2000 diciembre 11
2000-12-12,128.277,12733.67,2000 diciembre 12
2000-12-13,127.974,12733.67,2000 diciembre 13
2000-12-14,125.739,12726.67,2000 diciembre 14
2000-12-15,124.228,12736.67,2000 diciembre 15
2000-12-16,116.934,12736.67,2000 diciembre 16
2000-12-17,104.944,12736.67,2000 diciembre 17
2000-12-18,122.746,12736.67,2000 diciembre 18
2000-12-19,125.7,12736.67,2000 diciembre 19
2000-12-20,124.442,12736.67,2000 diciembre 20
2000-12-21,124.171,12736.67,2000 diciembre 21
2000-12-22,122.711,12736.67,2000 diciembre 22
2000-12-23,114.156,12736.67,2000 diciembre 23
2000-12-24,104.505,12736.67,2000 diciembre 24
2000-12-25,95.348,12736.67,2000 diciembre 25
2000-12-26,114.524,12736.67,2000 diciembre 26
2000-12-27,118.172,12736.67,2000 diciembre 27
2000-12-28,117.444,12736.67,2000 diciembre 28
2000-12-29,115.739,12736.67,2000 diciembre 29
2000-12-30,106.54,12736.67,2000 diciembre 30
2000-12-31,100.086,12736.67,2000 diciembre 31
2001-01-01,90.428,12986.67,2001 enero 01
2001-01-02,107.283,12986.67,2001 enero 02
2001-01-03,112.982,12986.67,2001 enero 03
2001-01-04,112.698,12986.67,2001 enero 04
2001-01-05,114.125,12986.67,2001 enero 05
2001-01-06,108.143,12986.67,2001 enero 06
2001-01-07,96.997,12986.67,2001 enero 07
2001-01-08,96.738,12986.67,2001 enero 08
2001-01-09,113.75,12986.67,2001 enero 09
2001-01-10,114.561,12986.67,2001 enero 10
2001-01-11,115.505,12986.67,2001 enero 11
2001-01-12,115.88,12986.67,2001 enero 12
2001-01-13,110.54,12986.67,2001 enero 13
2001-01-14,98.505,12986.67,2001 enero 14
2001-01-15,115.935,13199.67,2001 enero 15
2001-01-16,118.802,13199.67,2001 enero 16
2001-01-17,119.578,13199.67,2001 enero 17
2001-01-18,120.246,13199.67,2001 enero 18
2001-01-19,119.995,13199.67,2001 enero 19
2001-01-20,114.179,13199.67,2001 enero 20
2001-01-21,100.901,13199.67,2001 enero 21
2001-01-22,118.556,13203.67,2001 enero 22
2001-01-23,120.516,13203.67,2001 enero 23
2001-01-24,120.539,13203.67,2001 enero 24
2001-01-25,121.054,13203.67,2001 enero 25
2001-01-26,121.285,13203.67,2001 enero 26
2001-01-27,113.974,13037.67,2001 enero 27
2001-01-28,101.129,13037.67,2001 enero 28
2001-01-29,119.178,13037.67,2001 enero 29
2001-01-30,122.058,13037.67,2001 enero 30
2001-01-31,122.948,13037.67,2001 enero 31
2001-02-01,121.787,13037.67,2001 febrero 01
2001-02-02,121.539,13037.67,2001 febrero 02
2001-02-03,113.645,13037.67,2001 febrero 03
2001-02-04,100.714,13037.67,2001 febrero 04
2001-02-05,118.967,13037.67,2001 febrero 05
2001-02-06,120.779,13037.67,2001 febrero 06
2001-02-07,121.982,13037.67,2001 febrero 07
2001-02-08,122.283,13037.67,2001 febrero 08
2001-02-09,123.0,13037.67,2001 febrero 09
2001-02-10,114.609,13037.67,2001 febrero 10
2001-02-11,101.478,13037.67,2001 febrero 11
2001-02-12,119.594,13037.67,2001 febrero 12
2001-02-13,122.8,13037.67,2001 febrero 13
2001-02-14,122.902,13037.67,2001 febrero 14
2001-02-15,123.25,13037.67,2001 febrero 15
2001-02-16,122.864,13037.67,2001 febrero 16
2001-02-17,116.593,13037.67,2001 febrero 17
2001-02-18,102.493,13037.67,2001 febrero 18
2001-02-19,120.79,13037.67,2001 febrero 19
2001-02-20,123.378,13037.67,2001 febrero 20
2001-02-21,122.976,13037.67,2001 febrero 21
2001-02-22,122.146,13037.67,2001 febrero 22
2001-02-23,121.54,13037.67,2001 febrero 23
2001-02-24,114.486,13037.67,2001 febrero 24
2001-02-25,101.923,13037.67,2001 febrero 25
2001-02-26,118.247,13037.67,2001 febrero 26
2001-02-27,120.229,13037.67,2001 febrero 27
2001-02-28,116.695,13037.67,2001 febrero 28
2001-03-01,117.233,13032.67,2001 marzo 01
2001-03-02,120.323,13032.67,2001 marzo 02
2001-03-03,114.478,13032.67,2001 marzo 03
2001-03-04,100.898,13032.67,2001 marzo 04
2001-03-05,120.136,13032.67,2001 marzo 05
2001-03-06,121.961,13032.67,2001 marzo 06
2001-03-07,121.981,13032.67,2001 marzo 07
2001-03-08,121.704,13032.67,2001 marzo 08
2001-03-09,121.65,13032.67,2001 marzo 09
2001-03-10,115.235,13032.67,2001 marzo 10
2001-03-11,102.329,13032.67,2001 marzo 11
2001-03-12,121.226,13032.67,2001 marzo 12
2001-03-13,124.034,13032.67,2001 marzo 13
2001-03-14,124.71,13032.67,2001 marzo 14
2001-03-15,124.807,13032.67,2001 marzo 15
2001-03-16,125.056,13032.67,2001 marzo 16
2001-03-17,116.64,13032.67,2001 marzo 17
2001-03-18,101.192,13032.67,2001 marzo 18
2001-03-19,102.771,13032.67,2001 marzo 19
2001-03-20,121.04,13032.67,2001 marzo 20
2001-03-21,121.909,13032.67,2001 marzo 21
2001-03-22,122.519,13032.67,2001 marzo 22
2001-03-23,122.457,13032.67,2001 marzo 23
2001-03-24,114.709,13032.67,2001 marzo 24
2001-03-25,101.763,13032.67,2001 marzo 25
2001-03-26,119.331,13032.67,2001 marzo 26
2001-03-27,122.599,13032.67,2001 marzo 27
2001-03-28,122.993,13032.67,2001 marzo 28
2001-03-29,123.79,13032.67,2001 marzo 29
2001-03-30,123.67,13032.67,2001 marzo 30
2001-03-31,116.547,13032.67,2001 marzo 31
2001-04-01,102.865,13032.67,2001 abril 01
2001-04-02,121.514,13032.67,2001 abril 02
2001-04-03,122.995,13032.67,2001 abril 03
2001-04-04,122.904,13032.67,2001 abril 04
2001-04-05,123.199,13032.67,2001 abril 05
2001-04-06,123.494,13032.67,2001 abril 06
2001-04-07,117.899,13032.67,2001 abril 07
2001-04-08,104.221,13425.67,2001 abril 08
2001-04-09,121.737,13425.67,2001 abril 09
2001-04-10,122.299,13425.67,2001 abril 10
2001-04-11,119.718,13425.67,2001 abril 11
2001-04-12,98.262,13425.67,2001 abril 12
2001-04-13,90.714,13425.67,2001 abril 13
2001-04-14,102.266,13425.67,2001 abril 14
2001-04-15,98.039,13425.67,2001 abril 15
2001-04-16,119.654,13425.67,2001 abril 16
2001-04-17,121.856,13425.67,2001 abril 17
2001-04-18,122.358,13425.67,2001 abril 18
2001-04-19,123.289,13395.67,2001 abril 19
2001-04-20,124.008,13395.67,2001 abril 20
2001-04-21,116.312,13395.67,2001 abril 21
2001-04-22,102.709,13395.67,2001 abril 22
2001-04-23,121.713,13395.67,2001 abril 23
2001-04-24,124.458,13395.67,2001 abril 24
2001-04-25,124.273,13395.67,2001 abril 25
2001-04-26,124.366,13395.67,2001 abril 26
2001-04-27,125.815,13395.67,2001 abril 27
2001-04-28,118.152,13395.67,2001 abril 28
2001-04-29,104.189,13395.67,2001 abril 29
2001-04-30,119.489,13395.67,2001 abril 30
2001-05-01,103.87,13145.67,2001 mayo 01
2001-05-02,120.55,13145.67,2001 mayo 02
2001-05-03,123.45,13145.67,2001 mayo 03
2001-05-04,121.005,13145.67,2001 mayo 04
2001-05-05,113.881,13145.67,2001 mayo 05
2001-05-06,103.115,13145.67,2001 mayo 06
2001-05-07,122.529,13145.67,2001 mayo 07
2001-05-08,124.623,13145.67,2001 mayo 08
2001-05-09,122.703,13145.67,2001 mayo 09
2001-05-10,122.835,13145.67,2001 mayo 10
2001-05-11,123.751,13145.67,2001 mayo 11
2001-05-12,117.154,13145.67,2001 mayo 12
2001-05-13,101.562,13145.67,2001 mayo 13
2001-05-14,120.758,13145.67,2001 mayo 14
2001-05-15,123.74,13145.67,2001 mayo 15
2001-05-16,120.769,13145.67,2001 mayo 16
2001-05-17,122.973,13145.67,2001 mayo 17
2001-05-18,124.001,13145.67,2001 mayo 18
2001-05-19,115.962,13145.67,2001 mayo 19
2001-05-20,102.623,13145.67,2001 mayo 20
2001-05-21,120.777,13145.67,2001 mayo 21
2001-05-22,122.41,13145.67,2001 mayo 22
2001-05-23,123.376,13145.67,2001 mayo 23
2001-05-24,123.994,13145.67,2001 mayo 24
2001-05-25,123.66,13145.67,2001 mayo 25
2001-05-26,115.353,13145.67,2001 mayo 26
2001-05-27,100.372,13145.67,2001 mayo 27
2001-05-28,100.973,13145.67,2001 mayo 28
2001-05-29,121.469,13145.67,2001 mayo 29
2001-05-30,122.398,13145.67,2001 mayo 30
2001-05-31,121.215,13145.67,2001 mayo 31
2001-06-01,119.777,13145.67,2001 junio 01
2001-06-02,113.359,13145.67,2001 junio 02
2001-06-03,99.596,13145.67,2001 junio 03
2001-06-04,118.884,13145.67,2001 junio 04
2001-06-05,120.073,13145.67,2001 junio 05
2001-06-06,120.336,13145.67,2001 junio 06
2001-06-07,120.967,13145.67,2001 junio 07
2001-06-08,120.972,13145.67,2001 junio 08
2001-06-09,115.601,13145.67,2001 junio 09
2001-06-10,101.203,13145.67,2001 junio 10
2001-06-11,117.392,13145.67,2001 junio 11
2001-06-12,121.517,13145.67,2001 junio 12
2001-06-13,119.151,13145.67,2001 junio 13
2001-06-14,119.777,13145.67,2001 junio 14
2001-06-15,117.882,13145.67,2001 junio 15
2001-06-16,112.275,13145.67,2001 junio 16
2001-06-17,96.1,13145.67,2001 junio 17
2001-06-18,98.674,13145.67,2001 junio 18
2001-06-19,119.856,13145.67,2001 junio 19
2001-06-20,123.028,13145.67,2001 junio 20
2001-06-21,121.759,13145.67,2001 junio 21
2001-06-22,120.39,13145.67,2001 junio 22
2001-06-23,112.973,13145.67,2001 junio 23
2001-06-24,98.262,13145.67,2001 junio 24
2001-06-25,97.903,13145.67,2001 junio 25
2001-06-26,116.954,13145.67,2001 junio 26
2001-06-27,120.831,13145.67,2001 junio 27
2001-06-28,120.927,13145.67,2001 junio 28
2001-06-29,123.957,13157.67,2001 junio 29
2001-06-30,114.998,13157.67,2001 junio 30
2001-07-01,99.141,13157.67,2001 julio 01
2001-07-02,100.975,13157.67,2001 julio 02
2001-07-03,119.926,13157.67,2001 julio 03
2001-07-04,121.559,13157.67,2001 julio 04
2001-07-05,122.558,13157.67,2001 julio 05
2001-07-06,120.997,13157.67,2001 julio 06
2001-07-07,114.502,13157.67,2001 julio 07
2001-07-08,100.612,13157.67,2001 julio 08
2001-07-09,120.383,13157.67,2001 julio 09
2001-07-10,122.243,13157.67,2001 julio 10
2001-07-11,121.666,13157.67,2001 julio 11
2001-07-12,123.492,13157.67,2001 julio 12
2001-07-13,122.051,13157.67,2001 julio 13
2001-07-14,115.488,13157.67,2001 julio 14
2001-07-15,101.446,13157.67,2001 julio 15
2001-07-16,119.761,13157.67,2001 julio 16
